diseaseRare,diseaseSevere,hb,infantImmLimCap,infantImmWeak,medSkept,nat,overpar,parentExpert,vaccDanger,vaccEff,vaccIntent,vaccStrain,vaccTox
0.5999999999999999,2.2,1.5,0,-1.2,-1.5,-0.16666666666666666,0,0,-2.75,1.75,2.6,-1,-2.75
-3,3,0.5,2.6,3,2.1666666666666665,1,1,1.2,1.25,-1.25,-0.40000000000000013,3,2.75
-1.2,2,0.25,-0.2,0.4,-0.16666666666666666,-0.6666666666666667,0.40000000000000013,0,-1.5,1,1.6,-0.8,-2
0,0.6,1,0.4,0.20000000000000007,-0.16666666666666666,0.16666666666666666,0,-0.39999999999999997,-0.5,0,0,0,-0.5
-0.4,1.6,2.25,-0.40000000000000013,0.8000000000000002,0.16666666666666666,0,0.20000000000000007,-0.20000000000000007,0.75,-0.5,0,0.8,1.25
0.7999999999999999,0.8,0.25,0.8,0.6,1,-2.6666666666666665,-1.2,-3,-1.25,3,2.4,1,-3
-2,2.6,0,1.2,1.4,0.8333333333333333,0,0.40000000000000013,1.2,-0.75,-0.75,1.2,1.8,0.5
-0.4,0.8,0.5,0.40000000000000013,0.2,0.6666666666666667,-0.16666666666666674,-0.40000000000000013,-0.19999999999999993,-0.5,1,1.2,1,-1
-2.4,3,2,2,0.5999999999999999,0.8333333333333333,1.3333333333333335,1.2,0.2,0.75,1,1.2,-1.2,-0.25
-1.6,1.2,0,1,0,1,0,-1.2,0,2,-1.25,0.2,1.2,1.25
-0.6,0.6,-1,0,-0.20000000000000007,0,0,-0.5999999999999999,-0.8,-0.75,1,2.4,-0.6,-1.5
0.20000000000000007,0.40000000000000013,2.25,0.8000000000000002,0,-0.6666666666666667,0.33333333333333337,0.19999999999999987,0.8,0,0,-0.8,1,1
-1.6,2,-2.25,-1.2,-1.4,-1.3333333333333335,-2.1666666666666665,-2.2,-1.8,-2.5,2.25,3,-1.6,-2.25
-0.2,0.4,0,0.2000000000000001,-0.6,0.16666666666666669,0.5,0.19999999999999996,0.6,-1.25,-0.75,-0.8,-0.5999999999999999,0
-1.4,3,-0.75,-2,1.4,-0.6666666666666667,-0.5,0.8,-1.6,-3,2.5,2.8,-2.6,-3
-1.4,3,-1.5,1,0,-0.8333333333333333,-0.8333333333333333,-1.2,-0.7999999999999999,-2.25,2.5,2.4,-0.8,-2.25
-2.2,2.2,1.5,1.2,0.8,1.6666666666666667,2.1666666666666665,-2.2,1.2,0,-0.5,-1,1,1
1,1.6,-0.25,-1.4,-1.2,-0.33333333333333337,-2.3333333333333335,1.4,0,-2,2.25,3,-0.8,-2
-1.2,0.4,-2.25,2.6,0.4,-1.6666666666666665,-1.5,3,-2.4,-2.75,2.75,2.4,-1.8,-2.25
1.4,0.8,2.25,0.5999999999999999,1.2,0,0,0,0,0.5,0.5,0.5999999999999999,0.8,-1
-1.4,2,0.5,0,0.4,-0.5,0,0.8,0.5999999999999998,-0.5,0.5,0.2000000000000001,0.20000000000000007,0
-1.4,3,0,2.8,1.8,-0.6666666666666667,-0.5,-0.5999999999999998,-0.8,-2.25,2.75,2.8,-2.2,-2.25
1.2,2,2,2.2,1.8,-1.3333333333333333,0,0,-0.5999999999999999,-2.75,1.25,2.2,-2.6,-2.25
-1.6,2,-0.25,0.6,-0.20000000000000007,0,-1,-1,0.40000000000000013,-1.5,2,1.2,0.19999999999999993,-0.25
